日期	場次	班次	長度	分數範圍	場地	賽道	名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率	熱門	投注	皇牌	配備	操練	地點  度地儀	P賠率	P賠率2	P賠率3	Queue賠率	PQ賠率	PQ賠率2 PQ賠率3
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	7	1	紅衣優駿(A039)	陳嘉熙	羅富全	123	1172	11	3-1/2	4 2 2 7	1:21.91	8	-	-	1	B		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	8	4	勁無比(B034)	利敬國	羅富全	122	1075	2	4-1/2	8 8 8 8	1:22.07	5.9	2nd Hot	-	2	V		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	9	5	得勝駒(B112)	潘頓	韋達	121	1114	5	4-1/2	9 9 9 9	1:22.08	3.1	1st Hot	Big(PQ)	1	B/XB/TT-		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	10	12	一舖縱橫(B385)	楊明綸	丁冠豪	115	1042	10	4-1/2	1 1 1 10	1:22.08	22	-	-	1	H/TT		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	11	3	勇猛神駒(C462)	薛恩	沈集成	122	1127	9	6-1/2	6 6 6 11	1:22.37	66	-	-	2	TT1		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	12	7	精彩輝煌(B411)	田泰安	方嘉柏	121	1080	12	7-1/2	12 12 12 12	1:22.56	123	-	-	1	 		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	1	1	萬事叻(C022)	陳嘉熙	告東尼	123	1133	3	-	1 1 1	0:56.91	13	-	-	1	B/TT		沙田	2.71	26.5			477.5	116.0	327.5	
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	2	8	極速前進(V390)	梁家俊	容天鵬	118	1234	2	短馬頭位	3 3 2	0:56.92	10	-	-	1	V/TT		沙田	2.71		21.5		477.5	116.0		245.5
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	3	4	追風者(B414)	薛恩	丁冠豪	126	1112	11	頸位	8 6 3	0:56.98	25	-	-	1	B-		沙田	2.71			49.0			327.5	245.5
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	4	3	京京千里(V328)	潘頓	賀賢	126	1078	12	2-3/4	4 4 4	0:57.33	5.4	2nd Hot	-	+ 1	CP		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	5	10	神威敖翔(V150)	何澤堯	方嘉柏	117	1167	4	2-3/4	11 12 5	0:57.34	16	-	-	1	PC/TT		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	6	11	正陽清風(B343)	蔡明紹	姚本輝	115	1149	7	3	12 11 6	0:57.40	31	-	-	+ 1	B		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	7	9	連利福將(B475)	潘明輝	葉楚航	114	1068	10	4-3/4	5 8 7	0:57.65	20	-	-	1	 		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	8	7	知道必勝(C383)	莫雷拉	沈集成	121	1190	5	5-1/4	7 5 8	0:57.77	1.6	1st Hot	-	+ 1	TT		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	9	2	神舟寶駒(C269)	沈拿	徐雨石	132	1177	6	6-1/2	10 10 9	0:57.95	175	-	-	1	 		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	10	6	夢幻仙子(V222)	田泰安	蘇偉賢	121	1155	9	8-1/4	9 7 10	0:58.23	42	-	-	1	TT		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	11	5	美麗天驕(C274)	利敬國	約翰摩亞	124	1089	8	9-3/4	2 2 11	0:58.49	28	-	-	1	CP/TT1		沙田	2.71							
2019/9/1	9	第三班	1000米	(80-60)	好地	草地 - "B" 賽道	12	12	威先生(T334)	黎海榮	何良	114	1246	1	11-1/2	6 9 12	0:58.75	143	-	-	1	H2/P2		沙田	2.71							
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	1	5	蟲草之星(B070)	何澤堯	呂健威	126	1174	6	-	4 3 1 1	1:21.60	3.5	1st Hot	-	+ 1	B		沙田	2.71	14.0			164.5	61.5	72.5	
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	2	7	全民佳知(C288)	潘頓	告東尼	123	1113	3	1	5 6 5 2	1:21.76	9.3	-	-	1	CP/H/TT		沙田	2.71		29.5		164.5	61.5		158.0
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	3	1	帝豪寶寶(A050)	巫顯東	沈集成	130	1150	10	2	11 10 7 3	1:21.92	11	-	-	1	B/TT		沙田	2.71			36.0			72.5	158.0
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	4	10	美麗日子(B076)	楊明綸	容天鵬	116	1126	7	2-1/4	1 1 2 4	1:21.95	6.9	-	-	+ 1	B/H		沙田	2.71							
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	5	9	蒙古傳奇(B317)	莫雷拉	徐雨石	121	1130	2	2-1/2	10 11 9 5	1:21.99	4.5	2nd Hot	-	+ 1	 		沙田	2.71							
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	6	13	歡樂小子(S235)	黎海榮	文家良	118	1264	1	3-3/4	7 8 8 6	1:22.21	34	-	-	+ 1	V		沙田	2.71							
2019/9/1	10	第三班	1400米	(80-60)	好地	草地 - "B" 賽道	7	6	首飾大帝(V333)	薛恩	蔡約翰	126	1146	5	4-1/2	8 7 10 7	1:22.32	57	-	-	+ 1	B		沙田	2.71							
